Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Last Updated,Notes,Hardware Info
alifarokh/wav2vec2-xls-r-300m-fa,36.8,11.02,29s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/alifarokh/wav2vec2-xls-r-300m-fa,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
openai/whisper-large-v3,38.09,11.39,1m 24s,hsekhalilian/commonvoice dev,100,1543.49,https://huggingface.co/openai/whisper-large-v3,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
alifarokh/nemo-conformer-medium-fa,38.2,12.49,6s,hsekhalilian/fleurs validation,369,30.51,https://huggingface.co/alifarokh/nemo-conformer-medium-fa,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,40.79,18.89,12s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,2025-07-22,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
openai/whisper-large-v3,41.38,16.53,14m 19s,hsekhalilian/commonvoice dev,1000,1543.49,https://huggingface.co/openai/whisper-large-v3,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
openai/whisper-large-v2,42.92,13.71,1m 22s,hsekhalilian/commonvoice dev,100,1543.3,https://huggingface.co/openai/whisper-large-v2,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
openai/whisper-large-v2,43.35,14.18,14m 36s,hsekhalilian/commonvoice dev,1000,1543.3,https://huggingface.co/openai/whisper-large-v2,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
openai/whisper-large-v3-turbo,49.35,21.79,3m 59s,hsekhalilian/commonvoice dev,1000,808.88,https://huggingface.co/openai/whisper-large-v3-turbo,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,49.85,24.59,18s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/FastConformer-Hybrid-Transducer-CTC-BPE,2025-07-22,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
openai/whisper-medium,51.16,16.29,9m 15s,hsekhalilian/commonvoice dev,1000,763.86,https://huggingface.co/openai/whisper-medium,2025-07-08,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
